gene_symbol,logFC,adj_pvalue
MMP13,0.3494395798221701,0.008814588303712394
CCNT1,-0.32268862751813554,0.00883182659266785
ATP6V1G1,0.34763437924685725,0.008832517004102982
LOC729102,-0.35039532917864946,0.008833613084641654
LOC158160,-0.4252416379462307,0.008842258240061157
SNRPB,-0.29572880450605155,0.008866435541625342
MRAS,0.3488605914172709,0.008871881704942599
EPHB2,-0.31443128705087187,0.008878620427719919
FAM133A,-0.34370480045024543,0.008879243531178842
LOC653764,0.3187108755416306,0.008886367619721834
TRIM39,-0.3236247754793613,0.008891738421940383
GVIN1,-0.34130915856983535,0.00889713903712165
LOC730255,-0.33271186712057244,0.008905102208300965
ANKRD34A,-0.3881339540668707,0.008909533605200491
C14orf2,-0.30579603311640824,0.008910424813712927
CXorf40B,0.2931881507651797,0.008919021143933907
ENDOD1,0.3057446788820748,0.008921240642111672
CCDC15,-0.3228070610384375,0.00892167662553817
PARP9,-0.3173707563670263,0.008922109335951391
LOC644132,-0.33830361092887706,0.008925047433161401
KLHL20,0.31618505466272584,0.008929119200004554
CCDC109A,-0.3463413726421898,0.00894065531990773
TCF4,0.3358432031745515,0.00894202981368108
PPIE,0.30939374472542625,0.008946578282922911
FAM24B,-0.3108669897319114,0.008947243360973365
NLRP2,-0.33274780322450237,0.00895357934689303
ATP13A2,-0.3321025959970392,0.008961614173814225
ELOVL4,0.3556690173379895,0.008977941795970076
PHF5A,-0.34697834977715836,0.008981762646348685
DDX31,0.31496481798180476,0.009001159160878855
RNMTL1,-0.3281167554977973,0.009020139453788644
P4HA2,0.3645269246799998,0.009028040782590086
LMNB1,-0.34249816019085877,0.009052540214769344
GLT8D1,0.3665605784113257,0.0090707309456372
ASCC1,0.38776343877168706,0.009080073696837027
TLE2,0.31533472843013577,0.009080787479097185
METTL14,-0.3512204859160004,0.009103651944751927
B3GNT6,0.3020602159353514,0.009141422146943535
ABCG1,-0.3598899528227184,0.009150794228708372
UBE2H,0.2997527302807974,0.009158179559482204
ZNF250,-0.32411963975352354,0.00916566858013757
TEAD4,0.3354636758565661,0.009167732554775352
DFFA,-0.36257447930242215,0.009174622949121
MDK,0.3409402795353955,0.009181911646877334
CYTSA,0.31638114934827577,0.00918749811197718
TCEAL8,-0.3493000680723579,0.00919082686508639
P4HA2,0.3885463917826275,0.009193281053431559
DNAJB2,-0.31809443635763657,0.009199781042505567
KLHL12,0.30878394131100073,0.009205020095877389
C12orf41,0.2931322989363494,0.009216422917939771
FAM73B,-0.2996870232166753,0.009216928491865688
FAM18B,-0.30746579196387813,0.009230528915398873
SEPN1,0.3366796639039098,0.009236289117267689
ARHGAP28,0.3444080910340679,0.009241254711731824
GAGE12B,0.33718119957654125,0.009250584575477868
INPP4B,0.3122412244080195,0.009252434159908922
AK2,0.3142309891471342,0.00925552622751544
GSTT1,-0.4872502912644059,0.00927642815687591
TBC1D4,0.3602969725625531,0.009293000356987125
SPANXN5,-0.3097709910804589,0.009297128014152351
FLJ35776,-0.3715672847643354,0.009309483027882273
GPAM,0.32974406606887197,0.009317189796011344
BTF3L4,-0.29300988265765326,0.009322788435498363
ADAM10,0.3151625676531218,0.009337736189380878
PCNP,0.29972543352213243,0.00934250635017095
ALKBH5,-0.30800556424669345,0.009415290337846764
C2orf34,-0.3308644344095857,0.009419005960391713
BRP44L,-0.3061867338244433,0.00942501733546937
PTPDC1,-0.3622372451561633,0.009427379000200882
DEM1,-0.33255010463293644,0.009428199446359163
CCDC99,-0.3762555992275711,0.009432804395485583
FOXF1,0.294054481882978,0.00943865190099848
TMEM183B,-0.3235182397716869,0.009447020174131002
HPRT1,-0.31505513624022186,0.00945938432429859
LOC100128309,0.5727971734059363,0.00946074632936852
LHB,-0.3222221461353918,0.009469072752242045
LOC100134407,0.33869552071866593,0.009485553920243214
DKFZp451A211,-0.4158103448212884,0.009503405578426107
UTP6,0.3055061892559401,0.009514317310044033
TUBA1C,-0.35715536657871993,0.009517234887765675
VTI1B,0.292713863253951,0.009531830006030058
LETM2,-0.37995352623473444,0.009535327794559876
IDH3A,-0.3308041387966689,0.009535833108548893
ST6GALNAC5,0.31209344293352004,0.009538328103989094
LOC647081,-0.3147992613333468,0.009549716861178661
RGS16,0.30953454500420285,0.009578740129993239
RANBP3,-0.29934657134503695,0.009603276270081215
GLUD1,0.3188532441672596,0.009605682373880079
WDR82,-0.2965174676554341,0.009608511810818607
DLGAP4,-0.33197432483388134,0.009612859166520035
C6orf57,0.3770295999068054,0.009614536652446073
TRIM25,-0.3157518400263353,0.00961974408150862
LOC100128836,-0.30557603108029774,0.00962876703441606
WDR21A,0.304586745724178,0.00964592287287469
C5orf41,0.3717889502468257,0.009655418669619265
ATG4A,-0.3340791797713507,0.009659237865948132
GTF2A2,0.29988580677904686,0.009661385653309743
FLJ37078,-0.30632927579837865,0.009674461478954899
GMPPB,-0.36126374091252167,0.009678334485133711
LOC401019,0.3385243871235488,0.009682991674390759
LOC221710,0.2959607788785785,0.009694436785999502
N-PAC,-0.32276875957709095,0.009722916024235783
SOD2,0.35467130017536164,0.009727418641796073
SMU1,-0.3021100898857352,0.009728378944245898
DACT3,0.45465339255643133,0.00973889732211287
CRBN,0.3280646331894346,0.009742414150953945
PRAF2,0.3648781201946285,0.009749731967134318
KRAS,-0.32701029840614115,0.00975964327720506
MFNG,-0.32058345039946,0.00976308908059425
CCND3,-0.28738177802245524,0.009833995395323208
SGOL2,-0.3435684971222539,0.009838661758354947
LARS,0.2979333844348382,0.009865466260864415
PLXNA3,0.34414987122621454,0.009865838892902549
ATF2,0.3231797173811817,0.009867253865268056
MAP1B,-0.37151490600366976,0.009885883001720644
LOC653994,0.29311628020187364,0.00988592343265794
LOC643384,0.3097725771014872,0.009886692207902672
PCBP4,0.3484279547233573,0.009890359561730643
CCT2,-0.31726547679527783,0.009917626055193262
MED12,0.34422003053709815,0.00993139220906247
TRAF3IP1,0.3030084207330699,0.009932244439987973
C3orf26,0.352149772803509,0.00993500137637192
SUV39H1,-0.332291886472623,0.009936926033507697
ARHGDIA,-0.3062033817110468,0.009940614347186141
LAMC1,-0.37659156598189725,0.009946315495220518
MGEA5,0.316027894106254,0.009957031384730088
MAFF,0.32971178386398226,0.009974493203621784
OR51B4,-0.36635189933006096,0.009980590233281541
GOSR1,-0.30846449082234795,0.009980679663606074
GPX4,-0.3690558845559089,0.009985861431441407
LOC150051,-0.3485496229707934,0.010021803957280624
POLR3F,0.28940198112154825,0.010023668418642391
CDKN2D,-0.3097334893264936,0.010038585776107523
DGUOK,0.3144452839940648,0.010055094239841331
C7orf42,-0.2917816210527473,0.010058425847864951
FAM46C,0.33404939367726705,0.010077266029490993
MAPKAP1,-0.29997506585563016,0.010087816086829444
ZDHHC24,0.34038999225645217,0.01009782911318889
TSPYL2,0.4179619383543889,0.010100808516405158
KTN1,0.28803744481962035,0.010122330937307708
C3orf37,-0.33077971392532746,0.010124372586867934
LOC728873,-0.35778990796545784,0.010126805737836602
AKR1A1,-0.3527964154980676,0.010127178564156382
SRRM1,-0.30507706275826685,0.010167786389007252
WNT3A,-0.32227553480787563,0.010167793451767153
CSE1L,-0.3326926348096251,0.010171586421585773
CDA,-0.2899138359187434,0.01019163976611781
HES6,0.44396535304692186,0.010198547295551155
LOC644124,0.30672143771138405,0.010212896276523232
LOC644128,0.28991765373737266,0.010220257751310852
CCDC24,0.36759965354546686,0.010229248844455035
LRIG1,0.30459378719335195,0.010238688496976052
DENND5B,-0.4240848044203105,0.010255513672895079
N6AMT1,0.2981571597786745,0.010261242042756087
LOC647481,0.32178517793078143,0.010273595085286627
OIP5,-0.3663014908773423,0.010279481282210838
RNF160,0.3055853102057462,0.0102817231512445
RPS7,0.33902634580194047,0.01028982582523363
MYL6B,0.35261599539492217,0.010290317478502639
RPL32,-0.3202299096885426,0.010299112050592528
NFKBIB,0.2896027318914145,0.010336311123286224
ITGAE,-0.30927563156045146,0.010342621815058399
IRS1,0.2948671547914614,0.010353678717086322
SH3GLB1,0.2968676086377098,0.010360733792926246
TMEM69,-0.3149568695438827,0.010378565072858769
LMBRD1,-0.3282475448112514,0.01039381583261619
C15orf17,-0.2901688815098691,0.010394531416986015
WNK1,-0.41666453519728464,0.010396173947282478
HMGB1L1,-0.5129520919745296,0.010403719324602271
SPAG9,-0.38902726171399493,0.010415817239713606
CDC42SE2,0.29232401682592357,0.01043970086833503
CORO2A,0.3570833704704466,0.01044819387414572
UBN2,-0.31867078062931586,0.010448547008782104
TUG1,-0.3355887759853733,0.010455849640127838
C12orf11,0.32613073482627186,0.01045621278259799
AIP,0.29735913727536634,0.01045982518652752
WDR7,-0.3391926321794001,0.010480611523862832
WASF2,-0.3295243975559643,0.010487208044127805
LOC644517,0.2905230745562406,0.0105019028789005
DIS3L,-0.3361593730894441,0.010509419349439825
FZD4,0.3962576476050135,0.010514251219842324
FSTL1,0.29490088635020406,0.010524700554561315
HDAC6,0.3028527598341011,0.010539339456997978
C1orf25,0.3032744526495357,0.010553625435005206
LOC729200,0.3067240304374357,0.010583579720325477
ABCC5,-0.31105932329815467,0.010607729220013672
KIAA1881,0.33657738960350514,0.010610509630569727
UPF3A,0.3302715616039862,0.010638042345339086
LEPROTL1,0.3107750365267581,0.010650140310295615
OBFC2A,0.28397411974637343,0.01066414279280567
FAM24B,-0.30496070647489404,0.010664261280813726
TNNT2,0.5309624651816911,0.010665230457687537
ADK,-0.2848906646784517,0.010676951448794476
NMI,-0.4432399971122134,0.010680884995997463
SRP14,-0.30523971801016536,0.010686920665348489
TDRD7,-0.3067832163832218,0.01069499391803066
MYLK,0.3356046791081413,0.01069610239634415
RIMS3,-0.3375389208141719,0.010699837954004044
LPXN,0.3349539646067061,0.01070549060053453
FLJ35801,0.3510628984832014,0.010715190775487785
CYP4F11,-0.3388047740455731,0.01072300936921964
NCAPG,-0.32865977988524797,0.010743229999305291
KDELR2,0.2986823744982896,0.01074965523917791
PREI3,0.3147932933464883,0.010776379977390584
C9orf30,-0.3026537861064167,0.010788767589699447
LOC644162,-0.3707845805775811,0.010788945015371997
CNN3,0.30635158023032893,0.01079282167137005
ECE2,0.292304079246799,0.010796717948958088
MRPL35,0.29773089773247285,0.010820165373428305
EXOC3,0.3179568281576852,0.010839090998285544
IFI16,0.43005722454999784,0.010854196652762183
TMED7,0.30421564199201256,0.01085874380453361
ULBP2,-0.3431941018233182,0.01086397944744599
ZDHHC9,-0.3464272631126075,0.01089369644894174
ESM1,0.3074130338292971,0.010908298478727218
TLN1,0.33644335322075136,0.010910082143435392
CCNY,0.30229439342249087,0.010922255555796768
SBDSP,-0.3200205211985523,0.010928679641878207
C18orf19,-0.4129618970944886,0.010977345265146701
DNAJB1,-0.37161396437240235,0.010979810289656108
WDR36,-0.3573031583099038,0.010998803373797045
ASAP3,0.3833606106990928,0.011005212810633923
PIGX,0.28201422538084486,0.011005991494783204
TMEM106C,-0.3560851349864187,0.011007493092225817
PSME2,0.3318333653348251,0.011056053233932462
LOC147727,0.35120953590409343,0.011066503278410834
LOC646214,0.3223681338450497,0.011095777124836411
ECM1,-0.28743589680557413,0.011110274919316905
CEP120,0.29581283597645047,0.01111809986800112
GAA,0.3317315250288404,0.011123375623869221
BCL9L,-0.3374920030530264,0.011151563942376734
TMEM48,0.33219793854025603,0.011153043523279811
PRKCA,-0.3521087328954611,0.011153887469396013
SMAD3,0.29291823614850365,0.011155238166723366
WDR61,-0.30897031354963467,0.01116138488435382
CDC42EP2,-0.311760878636715,0.011164084988968625
EML2,0.303017284038007,0.011173936417918615
IDE,-0.31028685277406076,0.01118401811333646
MAN2C1,0.28005009532678304,0.011185743680167705
LOC440030,0.33618218305739234,0.011207637214897365
GLRX2,0.31090998176040685,0.011234847871651823
RING1,-0.30214823365244037,0.011236961306671435
LOC442232,-0.3110452328361699,0.011250766064048907
C15orf38,-0.37225912416955964,0.011269355971621667
TPI1,-0.28684082875223815,0.011278560486561217
ACTR6,0.2812298474480599,0.011293830383212656
OSBPL1A,-0.3300875524228175,0.011294316530167686
MGC40489,-0.29408859781251273,0.01133558237930379
KCTD12,-0.35866307930706665,0.011346278499598893
ARHGAP19,-0.2869855786242024,0.011366570489212595
ABI2,0.2867865701393182,0.011372688060867026
CSTF2T,-0.2961755035817504,0.011385321125434467
CECR5,-0.29091711525082786,0.011396906523254896
RRP9,0.3221785413155267,0.011402476764112724
PRPF38A,-0.330957573819882,0.011406432411136124
KLHDC5,-0.3864596655851926,0.011406542639913732
TMEM138,-0.2859851657709065,0.011455076915039672
POLR2H,0.2915964690195345,0.01146556903310203
PRDX4,0.286360709366571,0.01148187290756356
PIGP,0.2939735430968966,0.011483031119668308
TSC1,-0.34733855613247755,0.011490800979232454
SFPQ,-0.3138580964206481,0.011511213311508449
FAM108C1,0.34279034958957233,0.011522221551039498
FLJ10357,-0.31589971694364216,0.01152726859770598
CLN3,-0.31857203140619283,0.011543161200146283
FAM164A,-0.3212586934868309,0.011557874307024736
AACS,0.3080484854311729,0.01155946206309266
AZIN1,-0.33910968809978836,0.011566547371803636
LOC653820,0.3272832083085486,0.011580493319762927
PRKD1,-0.3184834100615337,0.011581939708970833
DNAJC5,0.28830100804181846,0.011596584232081068
FBXL15,-0.350620165936097,0.01159668302102566
SCFD1,-0.2852767611329181,0.011651788378220767
LOC730187,0.28420364095491735,0.011687772796889583
SPNS1,-0.33930091342456237,0.011705554146603951
USP54,-0.4317735382196588,0.01171172671696238
PARD6G,0.3114910197684395,0.011712283794810556
CADM3,0.3779960960386326,0.011713584909016504
MCART1,-0.2984617232394342,0.011718698971639666
SF3A2,-0.287210269601589,0.01172112397195235
NPIP,0.279971540987205,0.011722503747423818
FCF1,-0.32022422929730787,0.011755945155087965
LOC401164,-0.3144252653867161,0.011776763569788264
TSC22D3,0.40775303529072904,0.011787298789018952
PSMA4,-0.2941687294273567,0.01179608750563118
PGAM5,-0.2979746438338928,0.01179649128991514
TAF13,0.31453274491889616,0.011798786089549358
ZNF215,-0.30065721115018196,0.011804704627634338
AASDHPPT,0.28880250297244103,0.011854872151860974
PLCG1,0.4569701136274311,0.01185581292519825
OGFOD1,0.28091388454588895,0.011861059752871756
LOC643365,-0.28107272220812796,0.011867555196541962
KPTN,0.34374517309782604,0.011871723972070904
STX1A,0.3543974270338275,0.011908891755798595
P4HA1,0.3744340575785401,0.011908991629394784
RPL8,-0.3742241405898685,0.011971252070576945
CD151,-0.3341052350182281,0.01199136073723857
PRR7,0.2949661338577716,0.011993644207089961
MTR,0.30752265922381383,0.01200323759832231
CAPNS1,-0.2955175676630404,0.012003283826384173
UBE1DC1,0.2873989824065326,0.012007928542209842
AKR1C2,-0.3577030838363857,0.012008246903460348
LOC388707,0.2838370644295747,0.012016813307299035
TMTC3,-0.3236009626229661,0.012027713567854632
WDR19,0.3229639489545235,0.012040806359911988
NOTCH2NL,0.3324487607544544,0.012052874640980133
DIXDC1,-0.3067066655852919,0.012059350296425882
TPD52,-0.32546280403536887,0.012120224350896608
TSPAN33,0.29950277684202486,0.012129476987030291
TFG,0.2930762862406162,0.012158789191276097
TNC,-0.387031485349846,0.012188077516735712
MUS81,-0.30804888531444163,0.012196954400734766
ATP5E,0.3233460176527849,0.012198072475963898
CCRN4L,0.3100179198672066,0.012210447585596394
ABHD12,0.3060675635021788,0.012232169093004364
C16orf61,-0.3105243159221516,0.012233973427360023
DICER1,-0.3934110944046054,0.012238885365338558
LOC732432,0.3178391851035105,0.012247225716703433
DYRK2,0.33862819865336213,0.012253982534174814
ATOH8,0.2919759272951241,0.012268771845349467
LOC644093,-0.28385456066484505,0.012270106089547757
SEPN1,0.2879344662129739,0.012271431463664722
DHRS2,-0.41962921271483467,0.012300242095703542
MAFG,-0.34612713905916337,0.012306374998868828
LOC124512,-0.29096913005619207,0.01230748108334588
ZNF69,-0.34752932873626996,0.012311298805012645
LYN,-0.2994524023937615,0.012314634403658839
MED16,-0.2801846225613662,0.012326287588287028
POTEF,-0.28435313123656236,0.012331970823875675
MAFG,-0.3932396485667624,0.012332274329146778
RANBP3,-0.30344131602295477,0.012365041565152246
DBNDD1,-0.3602221241975956,0.012380440056814443
TMEM180,-0.28102215153662513,0.012389017199082066
NDUFB5,0.30658529190154127,0.012403658314259788
PICALM,0.3011561130274103,0.012405064777279243
TIMP1,0.3071113189199526,0.012416236856675261
FAHD2A,-0.3311537498464423,0.012434534602874898
CLIC4,0.29254730955178765,0.01243508852520092
ARHGEF2,0.321614657620648,0.012484892547057303
IRF8,-0.3192091078838164,0.012488203332925881
COL17A1,0.3837272779987151,0.012501619421158882
NT5C3,0.3174010202495676,0.01253100152987598
MAFF,0.340646810154535,0.012544095218736626
SNRNP35,-0.2847976779317545,0.012553525916338442
LOC400879,-0.40994030761166655,0.012575313527253617
ORC6L,-0.33219439309768717,0.01260442593320429
RIMKLB,0.2901525814989654,0.012610952113173255
POLQ,-0.3471582908278634,0.012614786864999221
PDZD4,0.32485243273111397,0.012646315241910566
MMACHC,0.28290823197261616,0.012682681271792841
BRI3BP,-0.3325475127764417,0.012761681784236496
ACOT9,-0.2756585001056049,0.012765620046905679
SERTAD4,0.30108451964506955,0.012765730015523077
DUSP16,-0.2905467305807692,0.012783858310947766
SFRS18,0.2808653641734047,0.012792873684136629
LOC644634,-0.31464937516992464,0.012806095372821511
LOC642477,-0.33449513048611834,0.012810018647691287
TMEM14C,0.3120511688134844,0.012823492126017041
LOC407835,0.2761725515406237,0.01283185436399902
OBFC2B,0.32020271348130613,0.012834278525724323
EXOC1,0.29569040552789616,0.012840837778900153
LOC100129602,0.3900578072357197,0.012856929281473185
ISG20L2,-0.32410754634878636,0.0128931665590042
HIATL1,-0.2998845981380569,0.01289508231257899
ZNF404,0.33011726777237804,0.012899137615027123
NUDC,0.3047536766611927,0.012932674672131841
TYMS,0.277246535112198,0.012982004511616818
SPOP,-0.2929155160732275,0.012995231696771817
LOC730246,-0.29262968365853226,0.013022392440785837
SUPV3L1,0.29054202184147115,0.013040140219784422
NUAK1,-0.29390603431284745,0.013087458036955896
C10orf32,-0.3536585149098439,0.01309510797957255
RPA2,-0.35022652532555654,0.0131209468121348
COX6A1,0.3349021444305471,0.01315795103430833
B9D2,0.30467400571204095,0.013158345042459545
MAMLD1,-0.28393874208169123,0.013173733128201939
KCNK1,-0.33891690502433924,0.01317922041957977
XPNPEP3,0.2960867253537671,0.013193643167921213
ATF3,-0.3650950596838314,0.013195697118124062
PFN1,-0.29585636483250255,0.013205348714437359
TBC1D9,-0.346665680288333,0.013266908640206297
PPFIBP2,-0.31388880198506186,0.013268654256408642
C5orf41,0.422435656659494,0.013278970987071445
WDSUB1,-0.3153549034835912,0.013282787579454438
GALNT11,-0.32243316744854233,0.013325530263863159
PRMT10,0.28125329208001126,0.013330571348512885
TRIM3,0.3171487583083845,0.013333097415970179
BCAP29,-0.286324725866395,0.013344189675803503
PGF,0.3441565469450403,0.013356174405488575
NUDT6,0.284412739916144,0.013385966435263106
C5orf32,-0.336715865700997,0.01340154672351764
LDHB,0.27859846124961685,0.013401847420091055
EIF3F,-0.27710651291900845,0.013460333622506863
CXorf57,0.2825910771649305,0.013470742670944788
CAPSL,0.358768056621523,0.013496676667957442
LOC389316,0.3432746569304683,0.013528297963577136
MGST1,-0.2908947167335736,0.01354838866518822
LOC642250,-0.29800885714712777,0.013551862724226399
CROP,0.3268727020463018,0.013574100585974549
C3orf23,0.28758509626049467,0.013582271892963087
FBXO5,-0.3610819358843962,0.013613328955543635
C2orf79,0.2932275316801274,0.01362284844016605
DOK5,0.3449055589527976,0.013674354397258674
CPSF1,0.28294180701319505,0.013675853914821675
LOC727900,-0.3128088896107304,0.013689392377310523
PHF21B,0.3036105502323698,0.013691556585451431
TPM1,-0.3844898277409019,0.01370499048111805
PABPC3,0.30213362029588886,0.01375839969191512
CAPS,0.27703049528238655,0.013780281166693227
MXRA7,0.3402553463167237,0.013785931112971217
ZER1,-0.30348770912556056,0.013789883651333719
SNRPA1,-0.2920844866605492,0.013789965100336032
HNRNPA1,-0.3628032189724575,0.013790921133347898
TRAF3IP2,-0.3445897353409393,0.013791031090771523
AP4B1,-0.30353461502004997,0.013842318805113713
LOC727761,-0.3143555089746606,0.013865169743928676
UHRF1BP1,-0.34611537487965105,0.013865753563124902
SLC6A9,-0.2979358350209731,0.013891538423114046
AGBL5,0.3366713770866152,0.013892879911413594
GLRX3,0.27760725347072324,0.013897967329999206
TDP1,0.3827973600172765,0.013899989426489196
SGK3,-0.2967259789675145,0.013909146236624186
PAQR7,0.3352386419810358,0.013922444512179673
C20orf108,0.3851657133626398,0.01394114059719762
NOL8,0.32124690879969187,0.013951534593494097
RPS15,0.30633937844212156,0.013960772902083654
CMTM3,-0.31018652488790366,0.013970777513791699
SMARCD3,0.2875419012815872,0.013976156362396979
EIF4E3,-0.3426985275968768,0.013976838973760976
TUSC2,0.3088654904518098,0.014025699819800074
LOC728126,0.2913683234540656,0.014038820483809365
TEX261,-0.2835227408092855,0.01405717558802358
STX3,-0.30434115548839635,0.014070988017207613
GRAMD4,0.30985813844079324,0.014087025749735579
PLEKHB2,0.27962086003971365,0.014094504539616358
CEP164,0.30398718542422465,0.014103616678104282
NDUFS8,0.3573380893483886,0.014113557779060572
LOC644743,-0.3924246402791276,0.014138753552415635
RASA1,0.2741154673196835,0.014139664026413801
GMPPB,-0.2843129022599733,0.014177782071141848
MXD3,-0.3355937422022617,0.014202186442088378
SMC2,-0.3014163632532405,0.014210513911555788
ATRIP,0.27618552135436936,0.014235529769416923
LOC728672,-0.33935889687675136,0.014239558675943278
TRIM56,-0.283846986662442,0.014243297270348024
AFTPH,-0.2868736507830061,0.014251890207343158
HMGCL,0.29902118620973983,0.014260157372226929
GNPTG,0.3162929524841669,0.014263403566730833
RAD51,-0.30427851439454745,0.01427127159197541
TPP1,-0.45784388655387076,0.014301458819167273
C2orf68,-0.2969272336546247,0.014306740042722553
TFDP2,-0.3067929273430581,0.014310604373170827
CTSH,-0.34590381608929643,0.014331457157832092
ACSL1,-0.3401071220983649,0.014385746425442648
MAP3K7,0.27909716758808756,0.01442816186371033
TMEM33,-0.28393899745741535,0.014436247137014652
PPIA,-0.34539167680785,0.014460998560584611
APOL2,-0.3093672895992716,0.01447577160875344
ZSCAN5A,-0.32162064482698494,0.01448937772724648
ZSCAN21,0.2994843179097817,0.014511755656119958
CTDSP2,-0.36847518344856667,0.014544456835560514
CHMP5,0.2795592069143975,0.014544944508954667
PHF14,0.2825855235812256,0.01459242293668912
C7orf68,-0.34576584232297236,0.014597552260034105
LOC644464,0.2695729637458957,0.014599779063546477
TAF13,0.2903705305851805,0.014623178526622194
SFMBT1,-0.29475074539452706,0.014624616036239197
SFMBT1,-0.2880764174505046,0.014647538230264648
ETNK1,0.2707359261473794,0.0146482386411595
URB2,-0.32687826071366466,0.014658736983244684
SDHA,0.2924807168518413,0.014664076901101832
DCUN1D1,-0.2940942603005894,0.01468754317513577
FBXW7,-0.33792216025259236,0.014698283105856812
PLXNB3,0.3176063066450414,0.014701473084453583
LOC654069,-0.2743817975053906,0.01470914258565396
RNF144A,-0.3062581164800253,0.014744235156716872
GSTO1,-0.29292786528773007,0.014754057336787094
MORG1,0.28716715709199114,0.014758296581578935
NDUFAF2,0.31268088998302623,0.014762969558256577
LOC642732,0.2865787711496077,0.014795668188428753
PCBD1,-0.2881301954367732,0.014798452161966657
LOC100132831,0.3022448603333965,0.014805396980957222
PLIN2,0.29823152776889295,0.01481618326135667
C2orf56,0.2658398294889981,0.014824270034073724
MPDZ,-0.28544643242239065,0.01483822612561073
PSMB9,-0.31678783496474416,0.014862475213684832
C16orf7,-0.2818672382327332,0.014893602323642384
SPTLC1,0.2999838758488709,0.01489648179403581
ZNF330,-0.30870209534772286,0.014906062283770229
TCEAL3,0.3193776963607853,0.014931546787937724
MSL3,0.2673702218015297,0.014945811856463336
MAPKAPK2,-0.28863781441259206,0.014951747385536939
PVRL2,-0.2710255639625867,0.014954951519456508
RPL17,-0.31796737445464096,0.014979046171449848
LOC647333,0.29146681731023616,0.014984522627567502
PLEKHA9,-0.3029630606759479,0.015016609035638654
GAGE12J,0.3141044472417427,0.015031360559652688
IVNS1ABP,0.2868598435673597,0.015031697004069892
RTCD1,0.26870879042346907,0.0150336480611818
NAP1L3,0.30160987787911964,0.015047719422352572
DIDO1,-0.296964126216654,0.015048394239347057
CD44,0.40889840974502434,0.01505270445502769
ABCC5,0.2737068406500569,0.015058719389076554
FAM27A,-0.3209072239770361,0.015074950791045053
LOC389672,0.31398344472151685,0.015083564140170036
LCE1B,0.3491473708059001,0.015099598990924702
HCN3,-0.30595563483641364,0.015140968140927948
FLJ41841,0.2982646773572286,0.015155391029861316
ODF2L,0.300126611640529,0.015192002521640107
C14orf100,0.2838677582819198,0.015197645906395135
LOC199800,-0.278335859804824,0.01520048333833253
CNOT7,0.26786673674624417,0.015215549854438109
C20orf7,0.2892453513619717,0.015221885900810967
LAMP2,0.3693278558981614,0.01522204898280569
LOC283755,0.26912571954799525,0.015256087076274934
ZMYND11,-0.27872927790792446,0.015256882413386174
SCARNA13,-0.30396194175245483,0.015264077154662797
TMBIM4,0.2787915832089549,0.015266615610982122
MED28,-0.3030361235988206,0.015293076393349729
ZC3H15,-0.348253570067369,0.015294181691093891
MAGEA6,-0.29204499955084273,0.015304511741714003
ARHGEF18,-0.2816529614238128,0.015304592248371761
ZNF232,-0.28801788806970574,0.015316157015357905
CAMK1D,-0.3688065739378521,0.015335250761390425
SNORA61,-0.31426897066635995,0.015348515189291242
LIF,0.28863224716379055,0.01535727800282658
ZBTB17,0.2795812228386616,0.015375153158333363
BCKDHB,0.2920315769221773,0.01538601853591399
PLEKHB2,0.3048654074558481,0.015398083206964409
C15orf41,-0.2897792598315627,0.015400694471908312
CT45A5,0.2997673918367987,0.015415479503625247
SDF4,0.29094855246550466,0.015417692717626424
CTSC,0.3066705745725127,0.015440855282353316
EIF2A,-0.2906770894002477,0.015468453722071857
POLR2B,0.2718096931101712,0.015483595063387773
LPIN2,0.2911412287336539,0.015503856440736742
B4GALT4,0.29749353645553533,0.015504266523450837
GAS2L1,0.27899498131767864,0.015507452357476149
DGCR2,-0.32011481218488136,0.015525148071675784
ZC3HAV1,-0.3119278464684587,0.015540055506242254
BEX5,-0.2972871502366443,0.015568937600514775
FAM50A,0.272851410105293,0.015615730717552139
CDC16,0.28264631328700673,0.01561619730911576
ABCB1,-0.2697567086851942,0.015626837082013546
CXXC4,0.3987628966983232,0.01563833934302572
LBH,0.44267250339619935,0.015652660751825098
WDR68,0.35369247354190136,0.0156636732930307
SDCCAG3,0.3036555458050074,0.015701953191959026
LOC642197,0.3256448742488036,0.015703873647015757
BIRC3,0.3590116356576578,0.01570606417089492
TULP3,-0.30204053617503135,0.01571812994108533
ARHGAP28,0.3102966875070523,0.015718167770945847
LAS1L,-0.3010228753126114,0.01572019948417784
ZNF788,-0.3546177799150039,0.015729139189622612
LIMK2,-0.3095873578430366,0.015748342146844146
DYRK4,0.2800211265932262,0.015772633026380864
PHF13,-0.3016524575871564,0.015783698388299742
TTF2,-0.3330203092281039,0.015830657753805717
FAM7A3,0.2969594455172917,0.015833821180203544
MBOAT2,-0.29733039061285016,0.015836840946723614
B4GALT3,-0.321160468872165,0.01584648999141381
METT11D1,-0.28709934689780425,0.01584925470209512
TGFA,0.34273717535220705,0.015874716993665144
RPL3,-0.28669016185040697,0.015882564847919427
KRT18,-0.31316774589755525,0.015897096930701404
FBXO33,-0.2985203601928408,0.015942353010940203
FAU,0.31264290332402567,0.015944616760419632
MGC3196,-0.3179686912934443,0.015967226881612222
C6orf136,-0.27724578678990497,0.015992086100089925
TRIM26,-0.30147716343137887,0.0159988296211441
TMUB2,0.275592107144492,0.016002041178383962
