gene_symbol,logFC,adj_pvalue
ACP2,-1.2062776119121414,2.310532384773904e-09
FAS,1.284992942116717,2.3826963259457405e-09
PFN2,-1.1913004384109822,2.4010494955901797e-09
TBPL1,-1.2547954075589054,2.4175170385179796e-09
LANCL1,-1.427217768816794,2.4630984093155143e-09
QARS,-1.2167019421178775,2.6927359621242157e-09
XRCC5,-1.3427358673726157,2.7102378253068e-09
LOC643319,-1.312994157435801,2.7516371372727672e-09
KIF3B,-1.366674479915833,2.8043052457461906e-09
CBX2,-1.256292863399965,2.8127684791153124e-09
PPAP2B,1.472199055726577,2.9214767601436426e-09
CMPK1,-1.2156655893176547,2.9826513721596022e-09
RFTN1,-1.1659085953783137,3.0155338187558264e-09
EI24,-1.181344807206406,3.0259428839664133e-09
WDR45L,-1.381835413516436,3.05266838468224e-09
NINJ1,1.4890664813346302,3.281487736568436e-09
KATNAL1,-1.3999153511993683,3.295617268275622e-09
SAE1,-1.327390316944589,3.503861185198469e-09
TGFBI,-1.4601547174927312,3.6339050598639782e-09
FKBP1A,-1.1966255204375997,3.980667262165209e-09
TM7SF3,1.2445597424817034,3.991477957365834e-09
MFN2,-1.2207031097865269,4.023783253307781e-09
INPP1,1.1318803662800079,4.0575434990750705e-09
SMG7,-1.155686431398287,4.086711286367585e-09
FAM136A,-1.4346832384002628,4.260738337753421e-09
LOC730167,1.166721271598698,4.502383260436906e-09
CDH11,1.2111048874445371,4.517896399283995e-09
CTTN,-1.2562129763804037,4.608288540691137e-09
CES2,1.3720546247196967,4.6163453562992e-09
NLGN4X,1.2428459326603525,4.633667960845639e-09
SURF4,-1.1127917855297706,4.81833869445317e-09
CCDC148,1.240738132100348,4.85964030900171e-09
HIBADH,-1.1851051481681,5.107770978200748e-09
TAGLN2,-1.2346528419954055,5.148077505914623e-09
WFS1,-1.272986655472005,5.2440246585529475e-09
FAM3C,1.1876915264748336,5.408353757001296e-09
SRP9,-1.1584109481408156,5.748880824417859e-09
QDPR,-1.1452162864854198,5.935434328700739e-09
PPM1D,1.1751617100529046,5.955182595743347e-09
KLHDC3,-1.2798838937097994,6.0022836601401805e-09
TACC1,-1.2734485246196918,6.039980810007814e-09
DUSP3,-1.2185926801820113,6.2279075342871566e-09
LRDD,1.2229189627966868,6.26634366572403e-09
BCL7B,-1.1082534879984784,6.286808765787526e-09
LOC642489,-1.2292190288564253,6.4099174800444656e-09
EIF2S3,-1.1380884158918239,6.5741206100049135e-09
DUS3L,1.1842501178117484,6.740872100494148e-09
LOC645166,-1.3930594755102703,7.092830703649012e-09
ZFYVE21,-1.1482199368628248,7.459469563358352e-09
RAPGEF1,-1.1660624489248814,7.476293638854144e-09
